Rank,Player,Team,Seed,Proj Games,MPG,PPG,RPG,APG,SPG,BPG,Raw Score/G,Proj Total
76,Blake Buchanan,Iowa State,3,3.5,24.1,8.2,5.9,1.5,0.6,1.0,17.2,60.2
77,Cayden Boozer,Duke,1,5.0,20.4,6.4,1.9,2.8,0.8,0.1,12.0,60.0
78,Aiden Sherrell,Alabama,4,2.8,23.4,11.0,6.1,1.1,0.5,2.3,21.0,58.8
79,Nate Ament,Tennessee,5,2.1,30.1,17.4,6.4,2.4,1.0,0.5,27.7,58.2
80,Urban Klavzar,Florida,2,4.2,21.4,10.2,1.5,1.3,0.4,0.1,13.5,56.7
81,Berke Buyuktuncel,Nebraska,3,3.5,24.1,6.5,5.6,2.0,0.9,1.1,16.1,56.4
82,Jaylen Petty,Texas Tech,3,3.5,29.6,9.3,3.9,2.1,0.6,0.0,15.9,55.6
83,AJ Dybantsa,BYU,7,1.5,34.0,24.8,6.7,3.8,1.1,0.4,36.8,55.2
84,Latrell Wrightsell Jr.,Alabama,4,2.8,27.1,13.5,2.9,2.1,1.1,0.0,19.6,54.9
85,Duke Miles,Vanderbilt,5,2.1,28.9,16.0,3.0,4.3,2.5,0.3,26.1,54.8
86,Killyan Toure,Iowa State,3,3.5,25.2,8.4,3.2,2.3,1.5,0.2,15.6,54.6
87,Chance Mallory,Virginia,4,2.8,24.5,10.0,3.9,3.5,1.7,0.1,19.2,53.8
88,Tyon Grant-Foster,Gonzaga,4,2.8,21.5,11.1,5.1,1.1,0.8,1.1,19.2,53.8
89,Micah Handlogten,Florida,2,4.2,15.1,4.3,6.0,0.7,0.5,0.9,12.4,52.1
90,Nikolas Khamenia,Duke,1,5.0,18.5,5.5,3.3,1.1,0.5,0.0,10.4,52.0
91,Trevon Brazile,Arkansas,5,2.1,30.7,12.9,7.1,1.6,1.5,1.6,24.7,51.9
92,Ben Humrichous,Illinois,2,4.2,22.5,6.3,4.1,0.8,0.4,0.7,12.3,51.7
93,Malik Thomas,Virginia,4,2.8,22.8,11.9,4.1,1.7,0.4,0.1,18.2,51.0
94,Paulius Murauskas,Saint Mary's,6,1.7,32.3,18.6,7.7,2.2,0.6,0.5,29.6,50.3
95,Nick Boyd,Wisconsin,6,1.7,31.2,20.0,3.7,3.9,0.9,0.0,28.5,48.4
96,Bryson Tiller,Kansas,4,2.8,26.6,8.5,6.0,1.1,0.3,1.4,17.3,48.4
97,Meleek Thomas,Arkansas,5,2.1,28.9,14.9,3.8,2.4,1.5,0.2,22.8,47.9
98,Charles Bediako,Alabama,4,2.8,21.6,10.0,4.6,0.2,0.8,1.4,17.0,47.6
99,Jordan Scott,Michigan State,2,4.2,20.0,6.0,3.1,1.1,0.7,0.4,11.3,47.5
100,Johann GrÃ¼nloh,Virginia,4,2.8,22.0,7.8,5.5,0.7,0.5,2.4,16.9,47.3
101,Mikel Brown Jr.,Louisville,6,1.7,29.2,18.2,3.3,4.7,1.2,0.1,27.5,46.8
102,Jaylin Stewart,Connecticut,1,5.0,17.7,4.5,2.8,1.2,0.5,0.3,9.3,46.5
103,Ryan Conwell,Louisville,6,1.7,30.0,18.5,4.8,2.6,1.2,0.2,27.3,46.4
104,Kur Teng,Michigan State,2,4.2,17.1,7.5,2.1,1.0,0.3,0.1,11.0,46.2
105,Otega Oweh,Kentucky,6,1.7,31.6,17.9,4.5,2.7,1.8,0.2,27.1,46.1
106,C.J. Cox,Purdue,3,3.5,24.0,8.7,2.4,1.3,0.6,0.1,13.1,45.8
107,Seth Trimble,North Carolina,5,2.1,31.7,14.2,3.7,2.4,1.2,0.2,21.7,45.6
108,Cameron Ward,Michigan State,2,4.2,15.5,5.2,4.4,0.3,0.4,0.5,10.8,45.4
109,John Blackwell,Wisconsin,6,1.7,33.0,18.1,4.8,2.4,1.2,0.1,26.6,45.2
110,Mario Saint-Supery,Gonzaga,4,2.8,22.3,8.4,2.7,3.6,1.3,0.1,16.1,45.1
111,Sam Lewis,Virginia,4,2.8,25.1,10.2,3.5,1.4,0.7,0.2,16.0,44.8
112,Zuby Ejiofor,St. John's,7,1.5,29.6,16.0,7.1,3.5,1.2,2.0,29.8,44.7
113,Malik Reneau,Miami (FL),7,1.5,28.5,19.1,6.7,2.2,0.9,0.7,29.6,44.4
114,Malachi Smith,Connecticut,1,5.0,15.3,3.6,1.6,2.9,0.6,0.1,8.8,44.0
115,Jalen Warley,Gonzaga,4,2.8,21.6,7.1,4.6,1.9,1.6,0.3,15.5,43.4
116,Nolan Winter,Wisconsin,6,1.7,31.1,13.3,8.6,1.5,0.5,1.2,25.1,42.7
117,Dallin Hall,Virginia,4,2.8,28.3,6.1,3.7,4.2,0.9,0.1,15.0,42.0
118,Robert Wright III,BYU,7,1.5,34.8,18.4,3.5,4.7,1.3,0.0,27.9,41.8
119,Tre Donaldson,Miami (FL),7,1.5,34.1,16.6,3.8,5.9,1.3,0.2,27.8,41.7
120,Jayden Ross,Connecticut,1,5.0,16.0,4.4,2.1,0.7,0.6,0.5,8.3,41.5
121,Ugonna Onyenso,Virginia,4,2.8,17.7,6.0,4.9,0.6,0.6,2.6,14.7,41.2
122,Tyler Nickel,Vanderbilt,5,2.1,30.6,13.9,3.1,1.2,0.7,0.6,19.5,41.0
123,Devin McGlockton,Vanderbilt,5,2.1,24.8,10.0,7.0,1.4,0.4,0.7,19.5,40.9
124,Frankie Collins,Vanderbilt,5,2.1,20.9,7.8,4.2,4.7,2.4,0.1,19.2,40.3
125,Nate Heise,Iowa State,3,3.5,24.9,5.1,4.0,1.5,0.8,0.1,11.5,40.2
126,Dwayne Aristode,Arizona,1,5.0,15.1,4.7,1.9,0.8,0.5,0.1,8.0,40.0
127,Billy Richmond III,Arkansas,5,2.1,25.6,11.1,3.9,2.0,1.0,0.8,18.8,39.5
128,Joshua Dent,Saint Mary's,6,1.7,36.1,13.3,2.5,5.6,1.6,0.1,23.1,39.3
129,Luke Bamgboye,Texas Tech,3,3.5,16.1,5.1,3.2,0.6,0.4,1.8,11.1,38.9
130,Duke Brennan,Villanova,7,1.5,30.7,12.0,10.4,2.0,0.8,0.5,25.7,38.6
131,Jake Davis,Illinois,2,4.2,20.0,5.8,2.1,0.7,0.3,0.2,9.1,38.2
132,Jacari White,Virginia,4,2.8,17.6,9.0,2.3,1.4,0.6,0.1,13.4,37.5
133,Davis Fogle,Gonzaga,4,2.8,15.7,8.2,2.7,1.2,0.7,0.5,13.3,37.2
134,Jalen Washington,Vanderbilt,5,2.1,20.7,9.0,5.6,0.9,0.7,1.3,17.5,36.8
135,Houston Mallette,Alabama,4,2.8,23.4,7.0,4.4,1.0,0.7,0.0,13.1,36.7
136,Braeden Smith,Gonzaga,4,2.8,18.0,5.5,2.4,3.9,1.1,0.0,12.9,36.1
137,Divine Ugochukwu,Michigan State,2,4.2,16.1,5.1,1.5,1.5,0.4,0.1,8.6,36.1
138,Malique Ewin,Arkansas,5,2.1,19.3,9.5,5.1,0.8,0.6,1.0,17.0,35.7
139,Cale Jacobsen,Nebraska,3,3.5,20.0,4.5,2.7,1.4,1.1,0.3,10.0,35.0
140,Taylor Bol Bowen,Alabama,4,2.8,18.8,6.3,4.5,0.4,0.4,0.9,12.5,35.0
141,Andrew McKeever,Saint Mary's,6,1.7,22.8,8.3,9.1,1.7,0.5,0.8,20.4,34.7
142,Emmanuel Innocenti,Gonzaga,4,2.8,23.0,6.0,3.6,1.6,1.0,0.2,12.4,34.7
143,Acaden Lewis,Villanova,7,1.5,30.3,12.5,3.2,5.1,2.0,0.1,22.9,34.3
144,AK Okereke,Vanderbilt,5,2.1,26.0,9.7,3.5,1.9,0.6,0.6,16.3,34.2
145,Bryce Hopkins,St. John's,7,1.5,28.0,13.3,6.0,2.0,1.1,0.3,22.7,34.1
146,Isiah Harwell,Houston,2,4.2,15.8,4.2,2.3,0.6,0.7,0.3,8.1,34.0
147,J.P. Estrella,Tennessee,5,2.1,17.4,9.8,5.1,0.7,0.2,0.3,16.1,33.8
148,J'Vonne Hadley,Louisville,6,1.7,27.1,11.6,5.3,1.7,0.9,0.3,19.8,33.7
149,Shelton Henderson,Miami (FL),7,1.5,30.7,14.0,4.8,2.1,1.2,0.3,22.4,33.6
150,Mikey Lewis,Saint Mary's,6,1.7,26.7,13.9,2.7,2.2,0.7,0.2,19.7,33.5
151,Bishop Boswell,Tennessee,5,2.1,26.2,6.7,4.8,2.9,1.4,0.1,15.9,33.4
152,Felix Okpara,Tennessee,5,2.1,26.3,7.7,6.0,0.5,0.4,1.3,15.9,33.4
153,Denzel Aberdeen,Kentucky,6,1.7,29.5,12.8,2.5,3.5,0.6,0.1,19.5,33.2
154,Tyler Perkins,Villanova,7,1.5,29.4,13.5,5.5,1.6,1.2,0.3,22.1,33.2
155,Jaylen Carey,Tennessee,5,2.1,18.8,7.5,6.3,1.3,0.3,0.1,15.5,32.6
156,Sananda Fru,Louisville,6,1.7,22.4,9.6,6.3,1.3,0.5,1.4,19.1,32.5
157,Luka Bogavac,North Carolina,5,2.1,24.0,10.1,2.6,2.3,0.4,0.0,15.4,32.3
158,Malachi Moreno,Kentucky,6,1.7,22.8,8.3,6.6,1.8,0.6,1.6,18.9,32.1
159,Karter Knox,Arkansas,5,2.1,22.2,8.1,4.5,1.2,0.7,0.5,15.0,31.5
160,Adam Miller,Gonzaga,4,2.8,19.7,7.8,1.6,1.0,0.7,0.0,11.1,31.1
161,London Jemison,Alabama,4,2.8,15.4,6.2,3.4,0.4,0.6,0.3,10.9,30.5
162,Dillon Mitchell,St. John's,7,1.5,27.5,8.1,6.9,3.1,1.2,0.7,20.0,30.0
163,Gicarri Harris,Purdue,3,3.5,16.4,5.0,1.7,0.9,0.9,0.0,8.5,29.8
164,Jarin Stevenson,North Carolina,5,2.1,25.0,7.8,4.2,1.0,0.6,0.6,14.2,29.8
165,Ernest Udeh Jr.,Miami (FL),7,1.5,27.3,7.1,9.5,0.5,1.0,1.5,19.6,29.4
166,Tru Washington,Miami (FL),7,1.5,27.7,11.8,4.1,1.6,2.0,0.0,19.5,29.2
167,Mouhamed Dioubate,Kentucky,6,1.7,21.5,8.5,5.5,0.9,1.0,1.0,16.9,28.7
168,Collin Chandler,Kentucky,6,1.7,25.9,10.2,2.9,2.2,1.2,0.3,16.8,28.6
169,Tyeree Bryan,Texas Tech,3,3.5,17.7,3.9,2.8,0.6,0.4,0.2,7.9,27.6
170,Dillan Shaw,Saint Mary's,6,1.7,27.2,7.7,5.3,1.6,0.9,0.6,16.1,27.4
171,D.J. Wagner,Arkansas,5,2.1,23.6,7.7,1.4,2.4,1.0,0.3,12.8,26.9
172,Austin Rapp,Wisconsin,6,1.7,21.7,9.3,3.8,1.5,0.5,0.5,15.6,26.5
173,Isaac McKneely,Louisville,6,1.7,28.1,10.7,2.8,1.1,0.5,0.1,15.2,25.8
174,Devin Tillis,Virginia,4,2.8,17.0,4.8,2.8,1.4,0.2,0.0,9.2,25.8
175,Bryce Lindsay,Villanova,7,1.5,28.6,12.3,2.0,2.1,0.7,0.0,17.1,25.6
176,Elmarko Jackson,Kansas,4,2.8,17.9,4.7,1.7,1.6,0.8,0.2,9.0,25.2
177,Keba Keita,BYU,7,1.5,21.7,6.2,7.0,0.4,1.1,1.8,16.5,24.8
178,Adrian Wooley,Louisville,6,1.7,21.0,8.3,3.9,1.5,0.8,0.1,14.6,24.8
179,Oziyah Sellers,St. John's,7,1.5,29.6,10.7,3.0,1.8,0.6,0.3,16.4,24.6
180,Devin Askew,Villanova,7,1.5,22.6,9.9,2.4,1.9,1.1,0.1,15.4,23.1
181,Derek Dixon,North Carolina,5,2.1,21.0,5.7,2.3,2.6,0.3,0.0,10.9,22.9
182,DeWayne Brown II,Tennessee,5,2.1,16.0,5.3,3.9,1.0,0.3,0.4,10.9,22.9
183,Jaland Lowe,Kentucky,6,1.7,18.4,8.0,2.1,2.4,0.7,0.2,13.4,22.8
184,Steele Venters,Gonzaga,4,2.8,15.1,5.0,1.3,1.0,0.6,0.1,8.0,22.4
185,Ian Jackson,St. John's,7,1.5,18.8,9.8,2.4,1.3,0.9,0.2,14.6,21.9
186,Khani Rooths,Louisville,6,1.7,17.5,5.7,4.8,1.1,0.7,0.5,12.8,21.8
187,Braeden Carrington,Wisconsin,6,1.7,17.6,8.6,2.5,1.0,0.4,0.3,12.8,21.8
188,Matthew Hodge,Villanova,7,1.5,27.6,9.2,3.6,0.7,0.4,0.6,14.5,21.7
189,Harry Wessels,Saint Mary's,6,1.7,17.1,5.1,5.3,0.6,0.4,1.1,12.5,21.2
190,Nick Pringle,Arkansas,5,2.1,19.0,4.8,4.0,0.6,0.3,0.4,10.1,21.2
191,Andrew Rohde,Wisconsin,6,1.7,25.9,6.0,2.0,2.9,1.3,0.1,12.3,20.9
192,Jamari McDowell,Kansas,4,2.8,18.4,3.7,1.7,1.2,0.4,0.2,7.2,20.2
193,Dylan Darling,St. John's,7,1.5,20.4,7.3,2.4,2.4,1.3,0.1,13.5,20.2
194,Jayden Quaintance,Kentucky,6,1.7,16.8,5.0,5.0,0.5,0.5,0.8,11.8,20.1
195,Cade Phillips,Tennessee,5,2.1,16.9,3.8,4.0,0.4,0.2,1.1,9.5,19.9
196,Kam Williams,Kentucky,6,1.7,19.9,6.9,2.5,1.0,0.6,0.4,11.4,19.4
197,Kennard Davis,BYU,7,1.5,28.2,7.7,2.7,1.2,1.1,0.2,12.9,19.3
198,Andrija Jelavic,Kentucky,6,1.7,15.7,5.8,3.9,0.6,0.5,0.3,11.1,18.9
199,Dante Allen,Miami (FL),7,1.5,23.4,6.3,2.8,2.2,1.1,0.1,12.5,18.8
200,Jonathan Powell,North Carolina,5,2.1,16.5,5.1,2.4,0.8,0.5,0.1,8.9,18.7
201,Kyan Evans,North Carolina,5,2.1,18.9,4.4,1.2,2.7,0.5,0.0,8.8,18.5
202,Joson Sanon,St. John's,7,1.5,21.3,8.3,2.6,0.7,0.5,0.2,12.3,18.4
203,Brandon Garrison,Kentucky,6,1.7,15.6,4.3,4.0,1.2,0.5,0.5,10.5,17.8
204,Aleksas Bieliauskas,Wisconsin,6,1.7,17.8,4.3,4.0,0.7,0.1,0.6,9.7,16.5
205,Marcus Allen,Miami (FL),7,1.5,18.9,5.3,3.1,1.6,0.3,0.0,10.3,15.4
206,Dawson Baker,BYU,7,1.5,19.8,7.5,1.7,0.5,0.5,0.0,10.2,15.3
207,Khadim Mboup,BYU,7,1.5,15.0,2.2,4.8,0.4,0.6,0.6,8.6,12.9
208,Timotej Malovec,Miami (FL),7,1.5,16.3,4.7,1.5,1.0,0.3,0.2,7.7,11.6
209,Tafara Gapare,Villanova,7,1.5,16.3,2.9,2.9,0.4,0.6,0.8,7.6,11.4
210,Malachi Palmer,Villanova,7,1.5,17.5,4.3,1.7,0.6,0.6,0.1,7.3,11.0
211,Jack Janicki,Wisconsin,6,1.7,16.5,2.2,2.0,1.1,0.7,0.2,6.2,10.5
